proto=udp,duration,orig_bytes,resp_bytes,conn_state=SF,conn_state=S0,conn_state=OTH,conn_state=S1,missed_bytes,history=ShADadttfF,history=S,history=ShADadtfF,history=Dd,history=D,history=DdA,history=DdAaFf,history=ShADda,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,label
0,0.000248,0,0.999255,1,0,0,0,0.571429,1,0,0,0,0,0,0,0,0.000093,0.000004,0.337017,0.999573,1
0,0.000453,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.000002,0,0,0,1
0,,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,0.000271,0,1,1,0,0,0,0.214286,1,0,0,0,0,0,0,0,0.000077,0.000004,0.334254,1,1
0,0.00022,0,0.756007,1,0,0,0,1,0,0,1,0,0,0,0,0,0.000063,0.000003,0.259669,0.764881,1
0,0.00046,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.000002,0,0,0,1
0,,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,0.000233,0,0.821932,1,0,0,0,0.142857,1,0,0,0,0,0,0,0,0.000077,0.000004,0.279006,0.822391,1
0,0.000261,0,0.95701,1,0,0,0,0.642857,1,0,0,0,0,0,0,0,0.000084,0.000004,0.325967,0.965781,1
0,0.000212,0,0.730088,1,0,0,0,0.428571,1,0,0,0,0,0,0,0,0.000067,0.000003,0.248619,0.730584,1
0,0.000464,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.000002,0,0,0,1
1,0.000001,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
0,,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0.000015,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
0,,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000001,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
0,0.000174,0,0.801987,1,0,0,0,0.071429,1,0,0,0,0,0,0,0,0.000075,0.000004,0.273481,0.802568,1
0,0.000211,0,0.706257,1,0,0,0,0.857143,1,0,0,0,0,0,0,0,0.00007,0.000003,0.254144,0.748813,1
0,0.000461,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.000002,0,0,0,1
1,0.000009,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
0,,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0.000015,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
0,,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,0.000225,0,0.812029,1,0,0,0,0.5,1,0,0,0,0,0,0,0,0.000076,0.000004,0.273481,0.812255,1
0,0.000237,0,0.884575,1,0,0,0,0.571429,1,0,0,0,0,0,0,0,0.000078,0.000004,0.298343,0.884862,1
1,0.000004,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
0,0.000337,0,0.872596,1,0,0,0,0.142857,1,0,0,0,0,0,0,0,0.000082,0.000004,0.29558,0.873015,1
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0.000005,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000003,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0.000018,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000004,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0.000001,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000003,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0.000023,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000001,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
0,0.0265,0,0.169283,0,0,1,0,0,0,0,0,0,0,1,0,0,0.000163,0.000006,0.588398,0.22546,0
1,0.000001,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000015,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000013,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000001,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000013,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000007,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000027,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000002,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0.000001,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
0,0.000844,0,0.009402,1,0,0,0,0,0,0,0,0,0,0,1,0,0.000034,0.000002,0.069061,0.016366,0
1,0.000016,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000003,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000004,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000015,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0.000005,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0.000001,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000001,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000016,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0.000001,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0.000001,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000015,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000001,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.00001,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000005,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000017,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0.000003,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0.000001,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000015,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0.000002,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000004,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000017,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0.000001,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000001,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000001,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000015,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000004,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0.000003,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000015,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0.000002,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0.000001,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000001,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000017,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0.000001,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000015,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000001,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000002,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000001,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000015,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0.000001,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000001,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000015,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000009,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000001,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000015,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000004,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000005,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000001,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000016,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0.000002,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000001,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000015,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000001,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000003,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000001,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000015,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000001,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000001,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000001,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000015,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0.000002,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000015,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000001,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000001,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.00004,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000004,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0.000015,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000004,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0.000001,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0.000001,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0.000001,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0.000015,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0.000001,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000001,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000001,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0.000002,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000004,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0.044213,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,1,0,0.003648,0,0,0,1,0,0,0,0,0,0,0,0,1,0.000257,0.00001,1,0.109548,1
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
